,Bar Name,Address,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
75,Flight Club Shoreditch,"2a Worship Street, London, EC2A 2AH",A super social bar with group darts that is conducive to social eating and drinking in a high-energy setting. Great for groups with signature slushy cocktails and a whole lot of fun.,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12:30AM,11:30AM - 1AM,11:30AM - 1AM,11:30AM - 10:30PM
76,The Anthologist,"58 Gresham Street, London, EC2V 7BB","Located right in the heart of the City, The Anthologist is a gorgeous bar & restaurant with a cosy outside seating area.",8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12AM,8AM - 12AM,Closed,Closed
77,The Duck and Rice,"90 Berwick Street, London, W1F 0QB",Alan Yau's dim sum for supper with brewery-fresh Czech Pilsner tank beer to wash it down. Lovely!,Closed,5PM - 11PM,5PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 9PM
78,Gillray's Steakhouse & Bar,"London Marriott County Hall, Westminster Bridge Road, London, SE1 7PB","With over 100 different gins to sample, Gillray’s Bar is the Gin expert on the South Bank. Discover it whilst you marvel at the views over the River Thames and the Houses of Parliament.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 10PM
79,Old Bengal Bar,"16a New Street, London, EC2M 4TR",Located in a warehouse once owned by the East India Company with a secret hidden terrace for al fresco drinking.,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 4PM
80,MAP Maison,"321 Kingsland Road, London, E8 4DL",Cosy neighbourhood bar with cracking cocktails and one of London's largest Japanese whisky selections. The tiled walls and comfy furniture make this space wonderfully welcoming.,Closed,3PM - 1AM,3PM - 1AM,3PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM
81,Victory Mansion,"18 Stoke Newington High Street, London, N16 7PL",Asian tacos and a completely gluten free menu are the order at this quaint little neighbourhood bar. That armed with stellar service and tropical cocktails make it a must when in Stokey.,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 2AM,12PM - 2AM,Closed
82,Tanner and Co,"50 Bermondsey Street, London, SE1 3UD","Tanner & Co is a local favourite, right on buzzing Bermondsey Street. It’s got a list of innovative original cocktails and some delicious bar snacks, plus there’s a festoon-lit terrace and a choice of cosy banquettes inside.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 2AM,12PM - 2AM,12PM - 11PM,12PM - 7PM
83,Oriole,"East Poultry Avenue, Smithfield Market, London, EC1A 9LH","An elegant destination bar that’s always worth the journey. Cocktails are inspired by the New World, Old World and Orient and are presented in a never-ending array of fascinating vessels.",Closed,Closed,6PM - 2AM,6PM - 2AM,6PM - 2AM,6PM - 2AM,Closed
84,Barrio Brixton,"30 Acre Lane, London, SW2 5SG","A feast for all the senses, serving up fresh street food and colourful cocktails. There's an outside terrace, a caravan table inside and party-starting DJ's at the weekend.",Closed,Closed,4PM - 12AM,4PM - 12:30AM,4PM - 2:30AM,11:30AM - 2:30AM,12PM - 12AM
85,Cahoots,"13 Kingly Street, Kingly Court, London, W1B 5PG","Jazz, swing, lindy-hop and vintage cocktails in this blitz-style basement bar. The space has recently expanded across the street and now includes the original Underground station, the more recently discovered Control Room basement and the ground floor Ticket Hall.",Closed,3PM - 1AM,3PM - 1AM,2PM - 1AM,2PM - 2AM,12PM - 2AM,2PM - 12AM
86,Black Parrot Bar,"8 Bride Court, London, EC4Y 8DU","A dark-blue haven hidden away in the heart of Fleet Street, from the same owners as Merchant House. They have one of the world's best rum selections here, so order something tasty to sip neat or add to one of their Caribbean-inspired cocktails.",Closed,5PM - 12AM,5PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 11PM,Closed
87,108 Bar & Brasserie,"108 Marylebone Lane, London, W1U 2QE","Set in the heart of Marylebone, 108 Bar is a chic drinking and dining area, offering the finest cocktails and a delicious small plate menu.",12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,Closed
88,Swift Soho,"12 Old Compton Street, London, W1D 4TQ","A legendary spot on Old Compton Street with a more casual, bright white setting for Sgroppinos upstairs and a darker, romantic basement for Martinis once the sun sets.",3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 10:30PM
89,Spiritland Kings Cross,"9-10 Stable Street, London, N1C 4AB","Super hip, music-led cocktail bar just up from Granary Square, with nightly DJ sets, a podcast recording studio to peer into, one of the best sound systems in the world and superb cocktails to match!",Closed,10AM - 10PM,10AM - 11PM,10AM - 11PM,10AM - 12:30AM,12PM - 12:30AM,12PM - 6PM
90,Disrepute,"4 Kingly Court, London, W1B 5PW","An underground cocktail den decked out in luxurious 60's-style velvet, lots of gold and tube lighting that makes it feel like you've stepped into a futuristic first class train carriage for a decadent drink.",4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 1AM
91,Bar Américain,"20 Sherwood Street, London, W1F 7ED","A gorgeous wood panelled, opulently art deco cocktail lounge hidden deep within Brasserie Zédel. A gorgeous oasis of calm right in the heart of the glittering West End.",Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,4PM - 12AM,3PM - 12AM,Closed
92,Three Sheets,"510b Kingsland Road, London, E8 4AE","An industry favourite and the perfect neighbourhood cocktail bar with a handful of tables and pared back, delicious drinks from the Venning Brothers who own it.",Closed,Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM
93,Found,"Basement, 5 Ravey Street, London, EC2A 4QW","A cosy basement bar with a small but strong cocktail list. If they've got space, you're in for a good time.",Closed,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12:30AM,6PM - 12:30AM,Closed
94,NT's Loft,"Unit 207, 1 Westgate Street, Netil House, London, E8 3RL","A huge open plan warehouse style cocktail bar & roof terrace, overlooking the railway. They have a huge selection of spirits and craft beer with a fantastic disco-dancefloor soundtrack.",Closed,Closed,5PM - 10:30PM,5PM - 10:30PM,5PM - 1:30AM,4PM - 1:30AM,5PM - 10PM
95,Ever After,"9 Hoxton Square, London, N1 6NU","An all-day spot from the same owner as Happiness Forgets, and handily just upstairs. Drop in for a Frozen Martini or a Milk Punch Sherry Cobbler and stay for relaxed small plates and divine chocolate mousse.",3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM
96,Untitled,"538 Kingsland Road, London, E8 4AH","An artist studio, bar and restaurant all come together in this minimalist Dalston venue, where drinks are focused on molecular flavour and served alongside interesting kitchen residencies.",Closed,Closed,6PM - 12AM,6PM - 12AM,5PM - 1AM,5PM - 1AM,Closed
97,Circus,"27-29 Endell Street, London, WC2H 9BA","Circus is a quirky cabaret bar and restaurant in Covent Garden. Enjoy amazing signature cocktails, delicious pan-Asian food and phenomenal pop-up circus performances from fire-breathers to jaw-dropping aerialists!",Closed,Closed,6:30PM - 12AM,6:30PM - 12AM,6:30PM - 12AM,12PM - 12AM,Closed
98,The Distillery,"186 Portobello Road, London, W11 1LA","This huge four storey corner plot on Portobello Road has huge tourist appeal thanks to it's eye catching signage, but once you're in - there's really delicious cocktails, tasty sharing plates and on certain nights - industry darling Jake F Burger can be found behind the bar. The basement is home to The Ginstitute - a must-visit attraction for those looking to while away an afternoon with boozy education.",10AM - 1AM,10AM - 1AM,10AM - 1AM,10AM - 1AM,10AM - 1AM,10AM - 1AM,11AM - 11PM
99,Black Rock Tavern,"9 Christopher Street, London, EC2A 2BS","The more relaxed sister to the whisky bar below, with a continued love for oak in the interiors and of course plenty of whisky - but now found in highballs or paired with beers.",Closed,3PM - 10PM,3PM - 10PM,3PM - 11PM,3PM - 11PM,Closed,Closed
100,LUCA,"88 St John Street, London, EC1M 4EH","Luca is the award-winning Italian restaurant and bar from the team behind The Clove Club, serving the finest British and Italian ingredients. Seasonal aperitifs and one of London’s finest Italian wine lists!",Closed,Closed,6PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
101,The Lobby Bar at The London EDITION,"10 Berners Street, London, W1T 3NP","Design led space with sweeping ceilings, glamorous clientele and comfy couches.",5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 11AM
102,The Meister Bar at German Gymnasium,"1 King's Boulevard, London, N1C 4BU","A stunning all-day grand café, sophisticated restaurant, two bars and an outdoor terrace - with a Mittel-European inspired menu and late-night glamour at the chic Meister Bar.",Closed,4PM - 11PM,12PM - 11PM,12PM - 11:30PM,12PM - 12AM,12PM - 12AM,12PM - 8PM
103,Coupette,"423 Bethnal Green Road, London, E2 0AN",A welcome touch of French class in the heart of Bethnal Green. Come for the Champagne Pina Colada and stay for the croque monsieurs and joie de vivre!,5PM - 11:30PM,5PM - 11:30PM,5PM - 11:30PM,5PM - 11:30PM,4PM - 1AM,4PM - 1AM,5PM - 10:30PM
104,TT Liquor Cellar Bar,"17B Kingsland Road, London, E2 8AA","Right in the heart of Shoreditch is this amazing spot, where you'll step in to discover a liquor store, cinema, cocktail classrooms and an intimate cellar basement bar with jail cell booths.",5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,5PM - 12AM,Closed,Closed
105,London Cocktail Club - Monument,"2B Eastcheap, London, EC3M 1AB",Inspired by the classic old-school Savile Row style tailors this dapper basement promises all the fun of classic LCC but with some whisky-fuelled mayhem.,4PM - 1:30AM,4PM - 1:30AM,4PM - 1:30AM,4PM - 2:30AM,4PM - 2:30AM,2PM - 2:30AM,4PM - 1:30AM
106,Burlock,"31 Duke Street, London, W1U 1LG","A stone’s throw away from Bond Street station is this Cuban-themed party bar with a nod to the 1920’s and dancing until the wee hours. With FAM on the ground floor, there's a separate set of stairs to take you down to this fun basement bar - stacked full of rum.",Closed,Closed,5PM - 11PM,5PM - 12AM,5PM - 1AM,5:30PM - 1AM,Closed
107,Nine Lives,"8 Holyrood Street, London, SE1 2EL",Subterranean tropical oasis filled with beautiful tunes and even more beautiful booze. Sustainability is the name of the game and every detail is considered and approached with love and care.,Closed,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,3PM - 12AM,Closed
108,The Sipping Room,"16 Hertsmere Road, West India Quay, London, E14 4AX","A few moment’s from West India Quay station, with a terrace overlooking the docks, The Sipping Room is a gorgeous bar & restaurant in a Grade II listed building.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,10AM - 12AM,10AM - 10:30PM
109,Flight Club Bloomsbury,"55 New Oxford Street, London, WC1A 1BS","With a Victorian fairground theme and London's only permanent carousel bar this lively venue offers classic cocktails, sharing platters and fun rounds of darts.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 1AM,11:30AM - 2AM,11AM - 2AM,11:30AM - 10:30PM
110,Salvador & Amanda Covent Garden,"8 Great Newport Street, London, WC2H 7JA",Basement tapas and cocktail bar with art deco-style stained glass windows and wooden booths with leather seats. They make great Sangria and have live DJ's and flamenco dancers most nights.,Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,4PM - 12AM,Closed
111,Mele e Pere,"46 Brewer Street, London, W1F 9TF","Upmarket modern trattoria with Murano glass window display, homemade vermouth and Italian wines.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 10PM,Closed
112,St James Bar at Sofitel London St James,"6 Waterloo Place, London, SW1Y 4AN","An iconic cocktail destination in the heart of St James, redesigned to create a truly decadent and intimate space with an extensive spirit selection.",5PM - 12AM,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM
113,The Last Tuesday Society,"11 Mare Street, London, E8 4RP",Located above The Viktor Wynd Museum of Curiosities you will stumble across all kinds of weird and wonderful things in this unique cocktail bar.,Closed,Closed,Closed,3PM - 11PM,3PM - 11PM,3PM - 11PM,12PM - 10PM
114,The Wigmore at The Langham,"15 Langham Place, Upper Regents Street, London, W1B 3DE","With Michael Roux Jr. in charge of food and a fantastic selection of cocktails and craft beer, this modern British tavern from a firm hotel favourite ticks all the boxes.",Closed,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
115,The Natural Philosopher,"489 Hackney Road, London, E2 9ED","Hidden behind a vintage-style Mac repair shop, this retro-style bar uses foraged ingredients to make cocktails themed around herbal medicine.",Closed,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,6PM - 1AM,3PM - 1AM,4PM - 11:30PM
116,Bellanger,"9 Islington Green, London, N1 2XH","A relaxed, all day café, bar and brasserie on Islington Green from restaurateurs Corbin & King, the team behind The Wolseley.",Closed,Closed,11AM - 10PM,11AM - 10PM,11AM - 10PM,9AM - 10PM,9AM - 9PM
117,Swingers City,"8 Brown’s Buildings, London, EC3A 8AL","An English countryside themed world of crazy golf, cocktail bars and street food vendors, all under one roof – and where drinking on the course is actively encouraged.",Closed,Closed,12PM - 12AM,12PM - 12AM,12PM - 1AM,10:30AM - 1AM,12PM - 11PM
118,Aviator at HUSH,"8 Lancashire Court, London, W1S 1EY",A classic Mayfair cocktail bar tucked away from the hustle and bustle of Bond Street serving drinks inspired by famous cocktail cities around the globe.,Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,12PM - 1AM,Closed
119,Henson's Bar at Mimi's Hotel,"56-57 Frith Street, London, W1D 3JG","A sleek, art-lined hotel bar, almost hidden away in the heart of Soho... perfect for meetings in the day and handcrafted classic cocktails at one of the velvet barstools in the evening.",3PM - 11:30PM,3PM - 11:30PM,3PM - 11:30PM,3PM - 11:30PM,3PM - 11:30PM,3PM - 11:30PM,3PM - 10:30PM
120,The Folly,"41 Gracechurch Street, London, EC3V 0BT","From the garden-inspired lounge to their private dining room, The Folly bar and restaurant is perfect for all-day drinking, dining and unwinding.",7:30AM - 11PM,7:30AM - 11PM,7:30AM - 12AM,7:30AM - 12AM,7:30AM - 12AM,10AM - 12AM,10AM - 10PM
121,Rockwell,"2 Spring Gardens, London, SW1A 2TS",Escape from the mayhem of Trafalgar Square by stepping into this surreal yet luxurious space that takes its inspiration from Darwin and Dali.,Closed,5PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
122,Home Bar,"5a Ravey Street, London, EC2A 4QW","Seriously fun and absolutely tiny, garage-sized cocktail bar, hidden deep in the back roads of Shoreditch and with a penchant for polaroids and tequila.",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 10:30PM,Closed
123,Slim Jim's Liquor Store,"112 Upper Street, London, N1 1QN","London's original dive bar complete with rock 'n' roll, cocktails and good times.",5PM - 2AM,5PM - 2AM,5PM - 2AM,5PM - 2AM,5PM - 3AM,2PM - 3AM,6PM - 1AM
124,Great Guns Social,"96 Southwark Bridge Road, London, SE1 0EF","A lovely concept where a rolling series of kitchen residencies take over this former pub. Lots of exposed brick, tanned leather and home-made cocktails only add to the appeal.",Closed,Closed,5PM - 10PM,5PM - 10PM,5PM - 10PM,5PM - 10PM,Closed
125,Eve Bar,"34 Southampton Street, London, WC2E 7HF","Eve Bar, beneath Frog by Adam Handling in Covent Garden combines life’s greatest impulses – temptation, indulgence, and hedonism in wow-factor subterranean surroundings.",Closed,4PM - 12AM,4PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,Closed
126,The Rooftop at The Trafalgar St James,"2 Spring Gardens, London, SW1A 2TS",A glamorous rooftop bar right in the heart of London with views from Trafalgar Square to Big Ben.,12PM - 10:30PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 10:30PM
127,London Cocktail Club - Liverpool Street,"206–210 Bishopsgate, London, EC2M 4NR","Step into this vintage fairground theme basement bar and enjoy the show! Vodka is the focus here and you can expect the usual LCC showmanship, we all love.",4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 2AM,4PM - 2AM,2PM - 2AM,2PM - 1AM
128,Behind This Wall,"Basement, 411 Mare Street, London, E8 1HY","A seriously minimalist, Hackney basement bar with a love for all things vinyl, hard seltzers and a focus on excluding artificial additives from their drinks.",Closed,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,Closed
129,The Coral Room at The Bloomsbury Hotel,"16-22 Great Russell Street, London, WC1B 3NN","Beautiful, centrally located hotel bar which is just as perfect for meetings, as it is for after work drinks. Clues in the name when it comes to decor. Think pink.",12PM - 11PM,12PM - 11PM,12PM - 11PM,11AM - 11PM,11AM - 12AM,11AM - 12AM,11AM - 11PM
130,Sketch,"9 Conduit Street, London, W1S 2XG",A feast for the eyes as well as taste buds. This historic Mayfair townhouse has four different bars all with their own eclectic personalities. Be sure to remember to check out the most Instagrammed toilets in London.,9AM - 7PM,9AM - 7PM,9AM - 12AM,9AM - 12AM,9AM - 2AM,9AM - 2AM,9AM - 12AM
131,Chapter 72,"72 Bermondsey Street, London, SE1 3UD",Coffee shop by day and cosy cocktail bar by night. The team at Chapter 72 certainly know a thing or two about the Espresso Martini!,7AM - 10:30PM,7AM - 10:30PM,7AM - 10:30PM,7AM - 10:30PM,9AM - 11PM,9AM - 11PM,9AM - 9:30PM
132,Bobby Fitzpatrick,"273 West End Lane, London, NW6 1QS","This bar celebrates all things retro with an air of refinement. Pair this with a Rum filled cocktail list, pizzas and a stellar soundtrack and you've got the perfect night out.",5PM - 11:30PM,5PM - 11:30PM,5PM - 11:30PM,5PM - 1AM,5PM - 1AM,4PM - 1AM,4PM - 12AM
133,The Star of Bethnal Green,"359 Bethnal Green Road, London, E2 6LG",Classic East End boozer jam packed with added extras. DJs and discos in the evening it's also a great spot to drop into for a quiet afterwork pint of something locally brewed.,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM
134,Kosmopol,"138 Fulham Road, London, SW10 9PY",Old-school cocktail bar in the heart of Chelsea with Scandinavian influences throughout from their Swedish owners. Light and inviting interiors throughout and a club downstairs for a boogie.,5:30PM - 1AM,5:30PM - 1AM,5:30PM - 1AM,5:30PM - 1AM,5:30PM - 2AM,5:30PM - 2AM,5PM - 12:30AM
135,Big Chill Kings Cross,"257-259 Pentonville Road, London, N1 9NL","A huge all-day venue with a sunny south facing roof terrace, late-night basement and good burgers - perfect for when you've just hopped off the train.",5PM - 12AM,5PM - 12AM,5PM - 12AM,12PM - 12AM,12PM - 3AM,12PM - 3AM,12PM - 12AM
136,Big Chill Brick Lane,"Dray Walk, London, E1 6QL","Round the corner from the Truman Brewery, you'll find this pared back all-rounder, with an outside space, locally-brewed beers, good burgers and more of a party-vibe by night.",2PM - 12AM,2PM - 12AM,2PM - 12AM,2PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 12AM
137,Purl,"50/54 Blandford Street, London, W1U 7HX","A subterranean cocktail den where mixed drinks are made to make you think. Expect the unexpected here, as drinks arrive in elaborate glasses with all manner of foams and fogs.",4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,4PM - 12AM,4PM - 12AM,Closed
138,Bluebird Café White City,"Television Centre, 101 Wood Lane, London, W12 7FR","A laid-back and stylish restaurant in the newly redeveloped BBC center with a terrace, seasonal British menu and some ingenious seating in large bird cages.",11AM - 9PM,11AM - 9PM,11AM - 9PM,11AM - 9PM,11AM - 9PM,11AM - 9PM,11AM - 6PM
139,Laki Kane,"144-145 Upper Street, London, N1 1QY","Fantastic tropical-escape-inspired bar in the heart of Islington, with masterclasses, rum-making workshops and tiki mugs galore!",5PM - 12:30AM,5PM - 12:30AM,5PM - 12:30AM,5PM - 1AM,4PM - 2:30AM,12PM - 2AM,12PM - 1AM
140,The Jones Family Kitchen,"7-8 Eccleston Yards, Belgravia, London, SW1W 9AZ","Hidden away in a renovated courtyard in Belgravia is The Jones Family's second venue. With a bar, restaurant and courtyard this is the perfect place for after work drinks or brunch with friends.",11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 12AM,12PM - 12AM,12PM - 8PM
141,Perception at W London,"W London, 1st floor, 10 Wardour Street, London, W1D 6QF","This bar is the life of the party. With décor inspired by London social scenes, live DJs and colourful cocktails you're sure to have a great time here.",7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 1AM,7AM - 2:30AM,7AM - 2:30AM,Closed
142,Savage Garden at the Doubletree by Hilton,"12th Floor, Doubletree by Hilton Hotel, 7 Pepys Street, London, EC3N 4AF","Rooftop bar with floor to ceiling windows, a study between experimentation and temptation.",Closed,Closed,Closed,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM
143,Two Hundred Rye Lane,"200 Rye Lane, London, SE15 4NF",The team from Three Eight Four in Brixton have ventured East to Peckham with this neighbourhood small plates restaurant and cocktail bar. They do brunch every day of the week and the staff are fantastic!,10AM - 11PM,10AM - 11PM,10AM - 11PM,10AM - 12AM,10AM - 12AM,10AM - 12AM,10AM - 10PM
144,Fitz's at the Kimpton Fitzroy London,"Kimpton Fitzroy London, 1-8 Russell Square, London, WC1B 5BE",This decadently decorated hotel bar is perfect for any occasion whether you're looking for a quite drink in a quiet corner or dancing until the early hours under the disco ball.,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 10PM
145,Swingers West End,"15 John Prince’s Street, London, W1G 0AB","An indoor mini-golf course in the West End, inspired by the great British seaside and complete with four cocktail bars, street food vendors and a bandstand.",Closed,Closed,12PM - 12AM,12PM - 12AM,12PM - 1AM,10:30AM - 1AM,12PM - 11PM
146,Aviary,"Montcalm Royal London House, 22-25 Finsbury Square, London, EC2A 1DX","An after-work favourite, towering above Finsbury Square with sleek interiors, classy cocktails and a South facing terrace with soaring views of the city.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,11AM - 10PM
147,Mr Fogg's Society of Exploration,"1A Bedford St, London, WC2E 9HH",A celebration of Phileas Fogg's travels can be found within these very doors. Taste elixirs from all corners of the globe amongst all manner of mechanical contraptions.,Closed,Closed,5PM - 12AM,5PM - 2AM,4PM - 2AM,1PM - 2AM,1PM - 12AM
148,La Goccia Bar Covent Garden,"Petersham Nurseries, 1 Floral Court, London, WC2E 9FB","A touch of the acclaimed Petersham Nurseries green-fingered magic in the heart of Covent Garden. A thoughtfully created menu of seasonally evolving drinks - from botanical cocktails to fine Italian wines, and even loose leaf teas to tickle your fancy.",Closed,11:30AM - 10:30PM,11:30AM - 10:30PM,11:30AM - 10:30PM,11:30AM - 10:30PM,11:30AM - 10:30PM,11:30AM - 7PM
149,Little Mercies,"20 Broadway Parade, London, N8 9DE",Neighbourhood cocktail bar from Alan Sherwood and the Venning Brothers. Using modern techniques to create their carefully crafted simplistic cocktails.,Closed,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 12AM,Closed
150,Jack Solomons,"41 Great Windmill Street, London, W1D 7NB",Hidden below a facade of a Kiosk/Deli next to Sophie's Steakhouse is this speakeasy decked out in crushed velvet and low lighting.,Closed,Closed,Closed,Closed,6PM - 1AM,6PM - 1AM,Closed
